"Date","precipitation"
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,1.4
2015-01-10,0.6
2015-01-11,0
2015-01-12,0.4
2015-01-13,0.1
2015-01-14,0
2015-01-15,0
2015-01-16,4.4
2015-01-17,0.3
2015-01-18,2.2
2015-01-19,10.5
2015-01-20,3.2
2015-01-21,4.1
2015-01-22,2.1
2015-01-23,0.7
2015-01-24,7.7
2015-01-25,0.2
2015-01-26,0
2015-01-27,8.3
2015-01-28,0.8
2015-01-29,0
2015-01-30,0
2015-01-31,0.1
2015-02-01,2
2015-02-02,0
2015-02-03,0
2015-02-04,0.4
2015-02-05,0
2015-02-06,0.6
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0.1
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,2.3
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0.7
2015-02-25,0
2015-02-26,0
2015-02-27,0.3
2015-02-28,0
2015-03-01,0
2015-03-02,1.7
2015-03-03,1
2015-03-04,0.4
2015-03-05,0
2015-03-06,0
2015-03-07,0.1
2015-03-08,0
2015-03-09,0.3
2015-03-10,0.3
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0.6
2015-03-15,0.1
2015-03-16,0
2015-03-17,8.9
2015-03-18,18.5
2015-03-19,1.7
2015-03-20,NA
2015-03-21,0.3
2015-03-22,7
2015-03-23,16.5
2015-03-24,43.1
2015-03-25,23.2
2015-03-26,3.8
2015-03-27,0
2015-03-28,10.9
2015-03-29,3.7
2015-03-30,21.5
2015-03-31,11.2
2015-04-01,1.1
2015-04-02,2.6
2015-04-03,0
2015-04-04,0
2015-04-05,0.2
2015-04-06,0.1
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0.1
2015-04-13,0
2015-04-14,2
2015-04-15,8.3
2015-04-16,5.4
2015-04-17,32.4
2015-04-18,2.9
2015-04-19,0
2015-04-20,0
2015-04-21,0.8
2015-04-22,0
2015-04-23,0
2015-04-24,1
2015-04-25,4
2015-04-26,2
2015-04-27,0.3
2015-04-28,1.2
2015-04-29,0.7
2015-04-30,0.1
